location,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Temperature,Temperature,Precipitation Total,Wind Gust,Wind Gust,Wind Gust,Cloud Cover Total,Mean Sea Level Pressure,Mean Sea Level Pressure,Mean Sea Level Pressure,Temperature,Temperature,Temperature
unit,°C,°C,°C,mm,m/s,m/s,m/s,%,hPa,hPa,hPa,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,sfc,sfc,sfc,sfc,sfc,MSL,MSL,MSL,sfc,sfc,sfc
resolution,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Summation,Maximum,Minimum,Mean,Mean,Maximum,Minimum,Mean,Maximum,Minimum,Mean
timestamp,Базель Temperature [2 m elevation corrected],Базель Temperature [2 m elevation corrected],Базель Temperature [2 m elevation corrected],Базель Precipitation Total,Базель Wind Gust,Базель Wind Gust,Базель Wind Gust,Базель Cloud Cover Total,Базель Mean Sea Level Pressure [MSL],Базель Mean Sea Level Pressure [MSL],Базель Mean Sea Level Pressure [MSL],Базель Temperature,Базель Temperature,Базель Temperature
20000216T0000,8.290245,1.6102453,5.455662,10.5,20.0,7.3,13.599998,70.041664,1015.0,1006.6,1009.68317,6.69,-0.28,4.1454167
20000217T0000,3.7802453,1.0202454,2.026079,3.4,12.3,4.3,8.745833,65.458336,1018.1,1008.2,1011.3376,4.41,-2.38,0.23208332
20000218T0000,8.250245,0.7502454,3.4473286,3.9,16.1,4.4,9.420833,89.875,1020.0,1007.5,1013.7166,4.74,-2.77,1.1687499
20000219T0000,8.700245,5.0602455,6.3452454,9.000002,14.4,7.3,11.787499,70.25,1015.3,1007.8,1010.2751,6.84,2.73,4.2787504
20000220T0000,5.2602453,1.7002454,2.8381622,2.9999998,8.7,2.5,6.991667,70.958336,1030.4,1015.9,1023.8875,4.36,-4.12,1.0675
20000221T0000,5.0502453,-2.9197545,1.0202453,0.0,4.1,1.7,2.7458334,31.291666,1031.9,1029.4,1030.6959,7.77,-4.65,-0.35375008
20000222T0000,6.9502454,-2.1497545,1.920662,0.0,4.7,1.5,2.925,14.325,1029.3,1025.0,1027.0458,10.03,-4.09,0.85458326
20000223T0000,7.8702455,-1.5497545,2.5098288,0.0,4.3,1.4,2.7708333,47.0,1028.8,1025.9,1027.4291,10.67,-3.54,1.3666669
20000224T0000,7.130245,-0.3897546,3.6169121,0.8,7.9,3.1,5.3124995,69.875,1030.6,1029.0,1029.5582,4.78,-3.06,1.1312498
20000225T0000,10.040245,6.420245,8.441079,3.1999998,15.1,3.4,8.933333,92.958336,1031.8,1025.9,1027.8624,9.76,4.2,6.1499996
20000226T0000,9.010245,4.0402455,6.318995,0.0,3.6,1.7,2.6625001,89.583336,1032.5,1030.1,1031.4583,9.87,3.16,5.5087495
20000227T0000,13.650246,2.2002454,6.743162,0.0,6.3,2.4,4.175,50.666668,1030.7,1025.2,1028.7833,14.45,1.06,5.7820835
20000228T0000,18.390245,4.2602453,10.222329,0.4,12.8,5.0,8.470833,17.0,1024.9,1017.8,1021.4292,17.25,0.77,7.761251
20000229T0000,12.180245,7.730245,8.837746,16.8,18.9,5.4,10.900001,94.916664,1023.7,1010.2,1019.2793,8.72,5.6,6.8199997
20000301T0000,8.680245,3.3302455,6.5094123,16.199999,20.9,7.3,11.979167,87.75,1013.8,1005.0,1007.7583,7.52,0.74,5.1449995
20000302T0000,6.630245,2.1002455,3.8927453,0.2,9.8,4.9,7.0041656,57.375,1028.5,1015.2,1024.0458,7.98,-0.56,2.5641663
20000303T0000,8.620245,4.0402455,6.136495,1.3,15.7,8.1,11.933334,81.333336,1025.3,1014.7,1019.43335,7.99,1.17,4.2725
20000304T0000,7.540245,1.0302454,5.1744123,11.0,15.9,5.4,10.708332,58.291668,1030.1,1012.2,1020.1958,9.05,-1.21,4.223334
20000305T0000,5.630245,-1.3697546,1.9177455,0.0,5.0,2.3,3.7708337,29.349998,1036.6,1031.3,1034.5166,9.17,-5.26,0.56041676
20000306T0000,10.420245,-2.1797547,3.089412,0.0,4.0,2.4,3.1375,8.225,1035.9,1028.9,1032.525,12.39,-4.0,2.0683334
20000307T0000,13.460245,-0.8097546,5.366495,0.0,7.6,3.6,4.9999995,1.4666666,1030.2,1027.0,1028.9833,14.5,-2.53,3.950833
20000308T0000,13.100245,4.3402452,8.050245,1.6999999,11.5,4.2,7.2500005,64.416664,1031.3,1028.0,1029.8542,12.03,0.32,5.3191667
20000309T0000,16.880245,9.760245,12.659829,1.7000002,13.3,7.9,9.970834,51.083332,1029.6,1025.2,1027.7584,16.72,5.39,9.745416
20000310T0000,13.040245,8.500245,11.094829,1.6000001,8.1,3.5,6.254166,80.291664,1029.3,1026.7,1027.9457,13.03,5.42,9.372499
20000311T0000,13.410245,7.2602453,9.969413,0.3,12.4,4.2,8.420834,60.07083,1026.3,1019.9,1022.52496,13.97,3.99,8.065417
20000312T0000,13.270246,5.2202454,8.81858,0.0,7.6,1.8,4.7708335,47.433334,1025.1,1022.8,1024.0376,14.65,2.02,7.5266666
20000313T0000,13.510245,-0.21975458,6.405245,0.0,5.5,2.8,3.7500002,1.5666666,1026.7,1023.9,1025.3292,16.28,-2.15,5.68375
20000314T0000,12.290245,6.7202454,9.555245,3.1,13.5,1.9,6.629166,81.375,1026.1,1020.0,1024.4375,14.27,1.43,7.157917
20000315T0000,10.740245,4.0402455,6.183162,3.2,13.8,2.3,7.9416676,67.583336,1033.1,1020.5,1028.4415,10.27,-0.86,5.295417
20000316T0000,7.710245,-0.029754579,4.252746,2.1000001,8.9,2.1,5.350001,77.833336,1033.1,1030.6,1031.8167,7.34,-2.28,2.8520832
20000317T0000,9.510245,6.4302454,7.69566,0.8000001,8.6,2.3,4.541667,86.75,1031.0,1027.0,1028.6417,9.54,1.68,5.714584
20000318T0000,8.520246,6.1602454,7.5294127,0.8,8.3,3.5,5.5291667,91.833336,1027.4,1025.8,1026.5875,10.72,4.74,6.5212493
20000319T0000,7.9702454,5.020245,6.2460785,0.7,10.5,3.2,7.5000005,91.416664,1029.8,1026.7,1028.3793,8.89,3.83,5.5595837
20000320T0000,11.640245,0.8502454,6.027745,0.0,11.6,4.1,7.4625,22.941666,1029.6,1023.2,1026.2706,13.19,-1.92,4.90875
20000321T0000,14.340245,-0.40975457,6.566496,0.0,4.5,2.1,3.5874996,13.137502,1024.5,1018.9,1022.19165,16.56,-2.21,5.7237496
20000322T0000,17.690245,1.4802454,9.044412,0.0,5.0,2.3,3.7583332,2.0625,1020.5,1015.7,1018.6917,19.47,-0.57,7.632916
